Xpos,Ypos,alexaRNA,cyRNA
21.5117478510029,808.747851002865,1,42
74.1152502910361,173.992724097788,9,99
133.764705882353,737.011437908497,0,1
297.195399259651,402.262823902697,6,55
510.885011895321,859.099920697859,1,52
517.673056814221,357.803764377832,9,37
671.749205227835,335.988696573649,4,23
704.7608815427,489.777961432507,1,38
799.306428571429,529.689285714286,0,29
815.792127921279,649.830873308733,3,12
974.619786614937,571.768186226964,9,58
1342.98555288016,408.7416188183,20,168
1633.95402735562,440.601443768997,14,38
1652.35120879121,524.909010989011,5,25
1660.21251523771,605.010971149939,12,49
1836.94424460432,92.9892086330935,2,113
156.933015391285,1289.06980273141,11,162
187.849856550845,1677.115396876,3,44
642.245304282494,1344.9988730278,10,41
690.333845562812,1456.88090664618,2,27
716.355780346821,1242.08641618497,7,47
817.80710102489,1538.07467057101,2,22
825.401041666667,1307.50620039683,8,44
871.979723046489,1828.21612265084,0,39
931.837698139214,1459.99896623019,7,10
1167.15971572845,1449.2031045446,4,58
1404.12755905512,1829.50866141732,1,50
1636.45193330968,1207.95885065626,16,41
1707.99265842349,1242.98802163833,9,24
